id,date,year_week,product_number,reporterhq_id,prod_category,specs,display_size,segment,sales_units,inventory_units
202119-6909,2021-05-15,202119,6909,93,Arale,21274,13.3,Premium,2.0,35.0
202120-6909,2021-05-22,202120,6909,93,Arale,21274,13.3,Premium,0.0,70.0
202121-6909,2021-05-29,202121,6909,93,Arale,21274,13.3,Premium,3.0,137.0
202122-6909,2021-06-05,202122,6909,93,Arale,21274,13.3,Premium,0.0,274.0
202123-6909,2021-06-12,202123,6909,93,Arale,21274,13.3,Premium,0.0,333.0
202124-6909,2021-06-19,202124,6909,93,Arale,21274,13.3,Premium,2.0,349.0
202125-6909,2021-06-26,202125,6909,93,Arale,21274,13.3,Premium,15.0,328.0
202126-6909,2021-07-03,202126,6909,93,Arale,21274,13.3,Premium,49.0,288.0
202127-6909,2021-07-10,202127,6909,93,Arale,21274,13.3,Premium,55.0,234.0
202128-6909,2021-07-17,202128,6909,93,Arale,21274,13.3,Premium,,131.0
202129-6909,2021-07-24,202129,6909,93,Arale,21274,13.3,Premium,91.0,62.0
202130-6909,2021-07-31,202130,6909,93,Arale,21274,13.3,Premium,20.0,32.0
202131-6909,2021-08-07,202131,6909,93,Arale,21274,13.3,Premium,5.0,24.0
202132-6909,2021-08-14,202132,6909,93,Arale,21274,13.3,Premium,0.0,30.0
202133-6909,2021-08-21,202133,6909,93,Arale,21274,13.3,Premium,0.0,57.0
202134-6909,2021-08-28,202134,6909,93,Arale,21274,13.3,Premium,0.0,121.0
202135-6909,2021-09-04,202135,6909,93,Arale,21274,13.3,Premium,0.0,255.0
202136-6909,2021-09-11,202136,6909,93,Arale,21274,13.3,Premium,9.0,312.0
202137-6909,2021-09-18,202137,6909,93,Arale,21274,13.3,Premium,8.0,326.0
202138-6909,2021-09-25,202138,6909,93,Arale,21274,13.3,Premium,9.0,326.0
202139-6909,2021-10-02,202139,6909,93,Arale,21274,13.3,Premium,10.0,314.0
202140-6909,2021-10-09,202140,6909,93,Arale,21274,13.3,Premium,55.0,284.0
202141-6909,2021-10-16,202141,6909,93,Arale,21274,13.3,Premium,24.0,259.0
202142-6909,2021-10-23,202142,6909,93,Arale,21274,13.3,Premium,36.0,232.0
202143-6909,2021-10-30,202143,6909,93,Arale,21274,13.3,Premium,32.0,206.0
202144-6909,2021-11-06,202144,6909,93,Arale,21274,13.3,Premium,,182.0
202146-6909,2021-11-20,202146,6909,93,Arale,21274,13.3,Premium,62.0,137.0
202147-6909,2021-11-27,202147,6909,93,Arale,21274,13.3,Premium,43.0,95.0
202148-6909,2021-12-04,202148,6909,93,Arale,21274,13.3,Premium,81.0,48.0
202149-6909,2021-12-11,202149,6909,93,Arale,21274,13.3,Premium,18.0,27.0
202150-6909,2021-12-18,202150,6909,93,Arale,21274,13.3,Premium,7.0,16.0
202151-6909,2021-12-25,202151,6909,93,Arale,21274,13.3,Premium,2.0,13.0
202152-6909,2022-01-01,202152,6909,93,Arale,21274,13.3,Premium,1.0,11.0
202201-6909,2022-01-08,202201,6909,93,Arale,21274,13.3,Premium,1.0,9.0
202202-6909,2022-01-15,202202,6909,93,Arale,21274,13.3,Premium,0.0,9.0
202203-6909,2022-01-22,202203,6909,93,Arale,21274,13.3,Premium,0.0,12.0
202204-6909,2022-01-29,202204,6909,93,Arale,21274,13.3,Premium,0.0,13.0
202205-6909,2022-02-05,202205,6909,93,Arale,21274,13.3,Premium,0.0,18.0
202206-6909,2022-02-12,202206,6909,93,Arale,21274,13.3,Premium,0.0,18.0
202207-6909,2022-02-19,202207,6909,93,Arale,21274,13.3,Premium,4.0,12.0
202208-6909,2022-02-26,202208,6909,93,Arale,21274,13.3,Premium,13.0,5.0
202209-6909,2022-03-05,202209,6909,93,Arale,21274,13.3,Premium,2.0,2.0
202210-6909,2022-03-12,202210,6909,93,Arale,21274,13.3,Premium,0.0,1.0
202211-6909,2022-03-19,202211,6909,93,Arale,21274,13.3,Premium,0.0,1.0
202212-6909,2022-03-26,202212,6909,93,Arale,21274,13.3,Premium,0.0,1.0
202213-6909,2022-04-02,202213,6909,93,Arale,21274,13.3,Premium,0.0,
202214-6909,2022-04-09,202214,6909,93,Arale,21274,13.3,Premium,0.0,0.0
202215-6909,2022-04-16,202215,6909,93,Arale,21274,13.3,Premium,1.0,1.0
202216-6909,2022-04-23,202216,6909,93,Arale,21274,13.3,Premium,2.0,2.0
202217-6909,2022-04-30,202217,6909,93,Arale,21274,13.3,Premium,1.0,
202219-6909,2022-05-14,202219,6909,93,Arale,21274,13.3,Premium,0.0,3.0
202220-6909,2022-05-21,202220,6909,93,Arale,21274,13.3,Premium,0.0,4.0
202221-6909,2022-05-28,202221,6909,93,Arale,21274,13.3,Premium,0.0,8.0
202223-6909,2022-06-11,202223,6909,93,Arale,21274,13.3,Premium,1.0,18.0
202224-6909,2022-06-18,202224,6909,15,Arale,21274,13.3,Premium,57.0,139.0
202224-6909,2022-06-18,202224,6909,93,Arale,21274,13.3,Premium,0.0,22.0
202225-6909,2022-06-25,202225,6909,15,Arale,21274,13.3,Premium,31.0,140.0
202225-6909,2022-06-25,202225,6909,93,Arale,21274,13.3,Premium,0.0,22.0
202226-6909,2022-07-02,202226,6909,15,Arale,21274,13.3,Premium,48.0,68.0
202226-6909,2022-07-02,202226,6909,93,Arale,21274,13.3,Premium,1.0,20.0
